Term;Alice’sAdventuresinWonderland.txt;ATaleofTwoCitie.txt;Frankenstein.txt;HeartofDarkness.txt;MobyDick.txt;PrideandPrejudice.txt;SherlockHolmes.txt
frowning;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
Reserve;"0,000000";"0,000000";"0,000267";"0,000000";"0,000000";"0,000000";"0,000000"
Twenty;"0,000000";"0,000263";"0,000000";"0,000000";"0,000034";"0,000000";"0,000172"
spilling;"0,000000";"0,000000";"0,000000";"0,000000";"0,000189";"0,000000";"0,000000"
passionateness;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
abrupt;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
salary;"0,000000";"0,000000";"0,000000";"0,000203";"0,000000";"0,000000";"0,000818"
pretend;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
Gros;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
guards;"0,000000";"0,000000";"0,000267";"0,000000";"0,000000";"0,000000";"0,000000"
nailed—Quick;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
blameworthy;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
mankind—devilish;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
widowhood;"0,000000";"0,000185";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
stonily;"0,000000";"0,000000";"0,000000";"0,000359";"0,000000";"0,000000";"0,000000"
coals;"0,000000";"0,000313";"0,000000";"0,000000";"0,000267";"0,000000";"0,000000"
halyards;"0,000000";"0,000000";"0,000000";"0,000000";"0,000284";"0,000000";"0,000000"
blasts;"0,000749";"0,000000";"0,000000";"0,000000";"0,000053";"0,000000";"0,000000"
spreading;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
carriers;"0,000000";"0,000000";"0,000000";"0,001077";"0,000000";"0,000000";"0,000000"
compassionate;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
tallow;"0,000000";"0,000000";"0,000000";"0,000000";"0,000214";"0,000000";"0,000409"
Promise;"0,000000";"0,000104";"0,000000";"0,000000";"0,000000";"0,000175";"0,000000"
Cluny;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
teetotaler;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000242"
fagot;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
