Term;idf
frowning;0,000000
Reserve;1,945910
Twenty;0,693147
spilling;1,945910
passionateness;1,945910
abrupt;0,000000
salary;1,098612
pretend;0,000000
Gros;1,945910
guards;1,945910
nailed—Quick;1,945910
blameworthy;1,945910
mankind—devilish;1,945910
widowhood;1,945910
stonily;1,945910
coals;1,098612
halyards;1,945910
blasts;1,098612
spreading;0,000000
carriers;1,945910
compassionate;0,000000
tallow;1,098612
Promise;1,098612
Cluny;1,945910
teetotaler;1,945910
fagot;1,945910
grandiloquent;1,945910
slatternly;1,945910
flit;1,945910
glade;1,098612
1000;1,945910
result;0,000000
reticule;1,098612
evaporate;1,945910
stiffening;1,098612
restoratives;1,945910
staircase;0,000000
imbedded;1,098612
flip;1,945910
resume;0,000000
barricade;0,693147
Ace;1,945910
unfeatured;1,945910
BEE;1,945910
overtaking;0,693147
BEG;1,945910
posture;0,693147
Supper;1,945910
Ingolstadt;1,945910
eating;0,000000
gripping;0,000000
Adieu;0,000000
sunset;0,000000
information;0,000000
Kremlin;1,945910
Ada;1,945910
straining;0,693147
shoals;1,098612
craft’s;1,945910
sufferer;0,000000
linstock;1,945910
uprising;1,945910
somewhere—to;1,945910
swelled—of;1,945910
amounted;1,098612
reproduce;1,945910
Careful;1,945910
suffered;0,000000
claptrap;1,945910
marlinspikes;1,945910
Therein;1,098612
pillaged;1,098612
quickening;0,693147
fornication;1,945910
—seen;1,945910
palpitated;1,945910
’—‘Soon;1,945910
scholars;1,945910
Gemini;1,945910
enjoined;1,098612
‘Soo;1,945910
raging;0,693147
wiliness;1,945910
‘Dear;1,945910
Duchess’s;1,945910
Devoutly;1,945910
loadstone;1,945910
motive;0,000000
adrift;1,098612
colouring;1,098612
Islands;1,098612
Age;1,945910
hauteur;1,945910
monstrously;1,945910
wheelbarrow;1,945910
conducive;1,098612
effeminacy;1,945910
umbrella;0,693147
him—what;1,945910
quarters;0,000000
plotting;1,098612
perilously;1,945910
is—“How;1,945910
poignant;1,945910
creeps;1,098612
goadings;1,945910
Aha;1,945910
creepy;1,945910
executioner’s;1,945910
Induced;1,945910
Preble;1,945910
uglifying;1,945910
breadth;0,000000
discharges;1,945910
complimented;0,000000
unbuilt;1,945910
“Father;1,945910
chilly;0,693147
dummy;1,098612
sailmakers;1,945910
discharged;0,693147
chills;1,945910
fiancé;1,945910
flashing;0,000000
flop;1,945910
flow;0,000000
reminds;1,098612
undignified;1,945910
timid;0,000000
Air;1,098612
resonance;1,945910
flog;1,945910
angular;1,945910
tombstones;1,945910
preservers;1,945910
ensue;0,693147
coach;0,000000
women;0,000000
jellied;1,945910
Singularity;1,945910
woman;0,000000
civilities;1,945910
dumps;1,945910
unassured;1,945910
Citizen;1,945910
interregnum;1,945910
buckles;1,098612
bothering;1,945910
buckler;1,945910
“Dearest;1,098612
unfallen;1,945910
surname;1,945910
Richard;1,098612
assemblance;1,945910
redundancy;1,945910
unforgiving;1,945910
Therese;1,945910
—God;1,945910
beholder;1,098612
taller;0,000000
avail;0,000000
misspent;1,945910
housemaid;1,098612
amselle;1,945910
aforethought;1,945910
—helm;1,945910
gone—all;1,945910
jugglers;1,945910
Sovereign;1,945910
observances;1,945910
groves—why;1,945910
“beat;1,945910
creeds;1,945910
off—move;1,945910
All;0,000000
hindering;1,945910
Trinity;1,945910
Angelo;1,945910
shrines;1,945910
Plum;1,945910
round—thought;1,945910
Angels;1,098612
joyously;1,945910
Faces;1,945910
longitude;1,945910
pigeon;1,098612
ceasing;1,098612
circumstances;0,000000
timed;1,098612
sneaks;1,945910
conveniently;0,693147
unmingled;1,945910
pernicious;1,945910
mystifying;1,945910
Herbert’s;1,945910
circumstanced;1,945910
defeats;1,098612
