|  | Frankenstein.txt |
|  | 0.12578002 |
| Reserve | 1.1103462E-5 |
| frowning | 1.1103462E-5 |
| half | 2.331727E-4 |
| Louisa | 1.1103462E-5 |
| shooting | 1.1103462E-5 |
| abrupt | 1.1103462E-5 |
| idol | 1.1103462E-5 |
| hall | 1.1103462E-5 |
| halo | 1.1103462E-5 |
| pretend | 3.3310385E-5 |
| guards | 1.1103462E-5 |
| wreck | 4.441385E-5 |
| drunk | 2.2206925E-5 |
| imperfect | 2.2206925E-5 |
| gloomy | 1.1103462E-4 |
| ten | 8.88277E-5 |
| sake | 8.88277E-5 |
| daring | 1.1103462E-5 |
| energy | 1.1103462E-5 |
| conceal | 5.551731E-5 |
| deference | 1.1103462E-5 |
| spreading | 1.1103462E-5 |
| competent | 1.1103462E-5 |
| require | 2.2206925E-5 |
| terrifically | 1.1103462E-5 |
| Cumberland | 3.3310385E-5 |
| compassionate | 1.1103462E-5 |
| 0 | 2.2206925E-5 |
| 1 | 5.440696E-4 |
| willow | 1.1103462E-5 |
| 2 | 7.772423E-5 |
| poems | 1.1103462E-5 |
| 3 | 1.5544846E-4 |
| 4 | 9.993116E-5 |
| 5 | 6.662077E-5 |
| 6 | 4.441385E-5 |
| 7 | 5.551731E-5 |
| 8 | 8.88277E-5 |
| professors | 5.551731E-5 |
| 9 | 5.551731E-5 |
| Frankenstein—he | 1.1103462E-5 |
| A | 4.996558E-4 |
| flit | 2.2206925E-5 |
| B | 2.2206925E-5 |
| vengeance | 2.331727E-4 |
| C | 2.2206925E-5 |
| D | 1.1103462E-5 |
| Arthur’s | 1.1103462E-5 |
| fearless | 1.1103462E-5 |
| E | 2.4427616E-4 |
| F | 1.1103462E-4 |
| roll | 1.1103462E-5 |
| I | 0.030745486 |
| concede | 1.1103462E-5 |
| perseverance | 2.2206925E-5 |
| turn | 1.3324154E-4 |
| M | 2.4427616E-4 |
| “Before | 1.1103462E-5 |
| O | 2.2206925E-5 |
| gold | 1.1103462E-5 |
| result | 5.551731E-5 |
| consolation—deep | 1.1103462E-5 |
| opposition | 1.1103462E-5 |
| R | 2.2206925E-5 |
| same | 7.106216E-4 |
| S | 5.551731E-5 |
| selfish | 4.441385E-5 |
| U | 3.3310385E-5 |
| wreak | 3.3310385E-5 |
| W | 1.1103462E-5 |
| commission | 2.2206925E-5 |
| after | 6.773112E-4 |
| staircase | 1.1103462E-5 |
| barbarously | 1.1103462E-5 |
| rational | 2.2206925E-5 |
| hand | 2.8869E-4 |
| barricade | 1.1103462E-5 |
| resume | 1.1103462E-5 |
| a | 0.01548933 |
| ordered | 2.2206925E-5 |
| b | 1.1103462E-5 |
| c | 3.3310385E-5 |
| e | 1.1103462E-5 |
| posture | 1.1103462E-5 |
| sombre | 1.1103462E-5 |
| Ingolstadt | 1.776554E-4 |
| weeping | 4.441385E-5 |
| blood | 2.1096578E-4 |
