Term;HeartofDarkness.txt;SherlockHolmes.txt;Frankenstein.txt;PrideandPrejudice.txt;ATaleofTwoCitie.txt;Alice’sAdventuresinWonderland.txt;MobyDick.txt 
frowning;"0,000184";"0,000124";"0,000137";"0,000000";"0,000190";"0,001363";"0,000000"
Reserve;"0,000000";"0,000000";"0,000137";"0,000000";"0,000000";"0,000000";"0,000000"
Twenty;"0,000000";"0,000248";"0,000000";"0,000000";"0,000379";"0,000000";"0,000049"
spilling;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
passionateness;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
abrupt;"0,000184";"0,000124";"0,000137";"0,000160";"0,000284";"0,000000";"0,000000"
salary;"0,000184";"0,000745";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
pretend;"0,000369";"0,000000";"0,000412";"0,001117";"0,000190";"0,000341";"0,000340"
Gros;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
guards;"0,000000";"0,000000";"0,000137";"0,000000";"0,000000";"0,000000";"0,000000"
nailed—Quick;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
blameworthy;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
mankind—devilish;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
widowhood;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
stonily;"0,000184";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
coals;"0,000000";"0,000000";"0,000000";"0,000000";"0,000284";"0,000000";"0,000243"
halyards;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000146"
blasts;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000682";"0,000049"
spreading;"0,000369";"0,000124";"0,000137";"0,000160";"0,000284";"0,000341";"0,000097"
carriers;"0,000553";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
compassionate;"0,000369";"0,000000";"0,000137";"0,000319";"0,000664";"0,000000";"0,000000"
tallow;"0,000000";"0,000372";"0,000000";"0,000000";"0,000000";"0,000000";"0,000195"
Promise;"0,000000";"0,000000";"0,000000";"0,000160";"0,000095";"0,000000";"0,000000"
Cluny;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
teetotaler;"0,000000";"0,000124";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
fagot;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
grandiloquent;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
slatternly;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
flit;"0,000000";"0,000000";"0,000274";"0,000000";"0,000000";"0,000000";"0,000000"
glade;"0,000000";"0,000124";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
1000;"0,000000";"0,000993";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
result;"0,000184";"0,001738";"0,000686";"0,000798";"0,000569";"0,000341";"0,000243"
reticule;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000049"
evaporate;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
stiffening;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000049"
restoratives;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
staircase;"0,000184";"0,000000";"0,000137";"0,000319";"0,002181";"0,000000";"0,000000"
imbedded;"0,000000";"0,000124";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
flip;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000292"
resume;"0,000000";"0,000000";"0,000137";"0,000160";"0,000095";"0,000000";"0,000097"
barricade;"0,000000";"0,000124";"0,000137";"0,000000";"0,000000";"0,000000";"0,000195"
Ace;"0,000000";"0,000000";"0,000000";"0,000000";"0,000284";"0,000000";"0,000000"
unfeatured;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
overtaking;"0,000184";"0,000000";"0,000000";"0,000000";"0,000190";"0,000000";"0,000049"
BEE;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000341";"0,000000"
BEG;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000341";"0,000000"
posture;"0,000000";"0,000000";"0,000137";"0,000000";"0,000095";"0,000000";"0,000243"
Supper;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000243"
Ingolstadt;"0,000000";"0,000000";"0,002195";"0,000000";"0,000000";"0,000000";"0,000000"
eating;"0,000184";"0,000000";"0,000000";"0,000319";"0,000190";"0,000341";"0,000535"
gripping;"0,000184";"0,000124";"0,000000";"0,000000";"0,000095";"0,000000";"0,000049"
Adieu;"0,000369";"0,000000";"0,000274";"0,000319";"0,000000";"0,000000";"0,000097"
sunset;"0,000184";"0,000124";"0,000274";"0,000000";"0,000379";"0,000000";"0,000389"
information;"0,000738";"0,000993";"0,001097";"0,004308";"0,001043";"0,000000";"0,000097"
Kremlin;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
Ada;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000341";"0,000000"
straining;"0,000000";"0,000124";"0,000000";"0,000000";"0,000095";"0,000000";"0,000340"
shoals;"0,000184";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000389"
craft’s;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
sufferer;"0,000000";"0,000248";"0,000274";"0,000160";"0,000569";"0,000000";"0,000000"
linstock;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
uprising;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000292"
somewhere—to;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
swelled—of;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
amounted;"0,000000";"0,000000";"0,000274";"0,000000";"0,000000";"0,000000";"0,000049"
reproduce;"0,000000";"0,000000";"0,000137";"0,000000";"0,000000";"0,000000";"0,000000"
Careful;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
suffered;"0,000184";"0,000248";"0,002881";"0,001276";"0,000569";"0,000000";"0,000049"
claptrap;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
marlinspikes;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
Therein;"0,000000";"0,000124";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
pillaged;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000049"
quickening;"0,000184";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000097"
fornication;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
—seen;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
palpitated;"0,000000";"0,000000";"0,000137";"0,000000";"0,000000";"0,000000";"0,000000"
’—‘Soon;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
scholars;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
Gemini;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
enjoined;"0,000000";"0,000000";"0,000274";"0,000000";"0,000000";"0,000000";"0,000049"
‘Soo;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000341";"0,000000"
raging;"0,000000";"0,000000";"0,000137";"0,000000";"0,001043";"0,000000";"0,000243"
wiliness;"0,000000";"0,000000";"0,000137";"0,000000";"0,000000";"0,000000";"0,000000"
‘Dear;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000341";"0,000000"
Duchess’s;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,001022";"0,000000"
Devoutly;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
